,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
239,2,Harry Potter and the Sorcerer's Stone,WB,317575550,3672,90294621,3672,11/16/01,J.K. Rowling's Wizarding World,2001
240,3,Harry Potter and the Half-Blood Prince,WB,301959197,4455,77835727,4325,7/15/09,J.K. Rowling's Wizarding World,2009
241,4,Harry Potter and the Deathly Hallows Part 1,WB,295983305,4125,125017372,4125,11/19/10,J.K. Rowling's Wizarding World,2010
242,5,Harry Potter and the Order of the Phoenix,WB,292004738,4285,77108414,4285,7/11/07,J.K. Rowling's Wizarding World,2007
243,6,Harry Potter and the Goblet of Fire,WB,290013036,3858,102685961,3858,11/18/05,J.K. Rowling's Wizarding World,2005
244,7,Harry Potter and the Chamber of Secrets,WB,261988482,3682,88357488,3682,11/15/02,J.K. Rowling's Wizarding World,2002
245,8,Harry Potter and the Prisoner of Azkaban,WB,249541069,3855,93687367,3855,6/4/04,J.K. Rowling's Wizarding World,2004
246,9,Fantastic Beasts and Where To Find Them,WB,234037575,4144,74403387,4144,11/18/16,J.K. Rowling's Wizarding World,2016
247,10,Harry Potter IMAX Marathon,Imax,1729226,330,1357376,330,10/14/16,J.K. Rowling's Wizarding World,2016
248,1,Jack Reacher,Par.,80070736,3352,15210156,3352,12/21/12,Jack Reacher,2012
249,2,Jack Reacher: Never Go Back,Par.,58697076,3780,22872490,3780,10/21/16,Jack Reacher,2016
250,1,Clear and Present Danger,Par.,122187717,2433,20348017,2378,8/5/94,Jack Ryan,1994
251,2,The Hunt for Red October,Par.,122012643,1817,17161835,1225,3/2/90,Jack Ryan,1990
252,3,The Sum of All Fears,Par.,118907036,3230,31178526,3183,5/31/02,Jack Ryan,2002
253,4,Patriot Games,Par.,83351587,2396,18511191,2365,6/5/92,Jack Ryan,1992
254,5,Jack Ryan: Shadow Recruit,Par.,50577412,3387,15451981,3387,1/17/14,Jack Ryan,2014
255,1,Jackass 3-D,Par.,117229692,3139,50353641,3081,10/15/10,Jackass,2010
256,2,Jackass Presents: Bad Grandpa,Par.,102003019,3345,32055177,3336,10/25/13,Jackass,2013
257,3,Jackass: Number Two,Par.,72778712,3063,29002002,3059,9/22/06,Jackass,2006
258,4,Jackass: The Movie,Par.,64255312,2532,22763437,2509,10/25/02,Jackass,2002
259,1,Skyfall,Sony,304360277,3526,88364714,3505,11/9/12,James Bond,2012
260,2,Spectre,Sony,200074609,3929,70403148,3929,11/6/15,James Bond,2015
261,3,Quantum of Solace,Sony,168368427,3501,67528882,3451,11/14/08,James Bond,2008
262,4,Casino Royale,Sony,167445960,3443,40833156,3434,11/17/06,James Bond,2006
263,5,Die Another Day,MGM,160942139,3377,47072040,3314,11/22/02,James Bond,2002
264,6,The World Is Not Enough,MGM,126943684,3163,35519007,3163,11/19/99,James Bond,1999
265,7,Tomorrow Never Dies,MGM,125304276,2807,25143007,2807,12/19/97,James Bond,1997
266,8,GoldenEye,MGM,106429941,2667,26205007,2667,11/17/95,James Bond,1995
267,9,Moonraker,MGM,70308099,0,7108344,788,6/29/79,James Bond,1979
268,10,Octopussy,MGM,67893619,1339,8902564,1311,6/10/83,James Bond,1983
269,11,Thunderball,UA,63595658,0,0,0,12/21/65,James Bond,2065
270,12,Never Say Never Again,WB,55432841,1560,10958157,1550,10/7/83,James Bond,1983
271,13,For Your Eyes Only,MGM,54812802,0,6834967,952,6/26/81,James Bond,1981
272,14,The Living Daylights,UA,51185897,1728,11051284,1728,7/31/87,James Bond,1987
273,15,Goldfinger,UA,51081062,0,0,0,12/22/64,James Bond,2064
274,16,A View to a Kill,MGM,50327960,1588,10687114,1583,5/24/85,James Bond,1985
275,17,The Spy Who Loved Me,UA,46838673,0,0,200,7/13/77,James Bond,1977
276,18,Diamonds Are Forever,UA,43819547,0,0,0,12/17/71,James Bond,1971
